iter	Passed	Remaining
0	160	32006
1	251	24907
2	330	21728
3	450	22096
4	549	21417
5	637	20621
6	727	20066
7	811	19485
8	893	1895399	1015	19291
10	1089	18721111	1199	18781212	1295	18631313	1378	18311414	1508	18601515	1617	18601616	1701	18321717	1833	18541818	1912	18221919	2009	18082020	2142	18262121	2226	18012222	2319	17842323	2422	17762424	2536	17752525	2665	17839
26	2761	17696
27	2857	17551
28	2984	17599
29	3062	17355
30	3142	17134
31	3218	16893232	3330	16853333	3420	16703434	3496	16483335	3578	16303336	3701	16303337	3814	16261338	3879	1601639	4125	16501
40	4203	16299
441	4169	15686442	4241	15484443	4337	15374444	4432	15264445	4547	15224446	4676	15224447	4854	15371
48	4962	15294949	5039	15115050	5144	150251	5307	15105
52	5435	15075
53	5584	15098
54	5659	14920
55	5893	15155
56	5946	14917
57	5993	14672
58	6070	14506
59	6145	14339
60	6227	14190
61	6295	14012
62	6342	13792
63	6410	13622
64	6496	13492
65	6549	13297
66	6615	13131
67	6668	12945
68	6776	12865
69	6855	12731
70	6901	12538
71	6967	12386
72	7022	12217
73	7089	12071
74	7147	11913
75	7245	11821
76	7322	11697
77	7378	11540
78	7420	11366
79	7508	11262
80	7564	11113
81	7630	10980
82	7711	10870
83	7752	10705
84	7809	10566
85	7884	10451
86	7933	10304
8787	7905	10068888	8017	9999889	8060	985190	8201	9823
91	8262	9698
92	8337	9592
93	8407	9481
94	8460	9350
95	8547	9259
96	8619	9153
97	8676	9030
98	8758	8935
99	8835	8835
100	8877	8701
101	8932	8582
102	8998	8473
103	9049	8353
104	9122	8254
105	9185	8145
106	9251	8040
107	9318	7937
108	9361	7815
109	9412	7701
1110	9372	75141111	9417	7399112	9548	7351
113	9589	7234
1114	9563	70681115	9601	6952116	9761	6924
117	9896	6877
118	9992	6801
119	10090	6726
120	10126	6611
121	10169	6501
122	10203	6387
123	10272	6295
124	10328	6197
125	10367	6088
126	10401	5978
127	10445	5875
128	10410	5729
129	10536	5673
130	10513	5537
131	10570	5445
132	10607	5343
133	10649	5245
134	10695	5149
135	10735	5052
136	10778	4956
137	10803	4853
138	10828	4751
139	10853	4651
140	10877	4551
141	10899	4451
142	10923	4354
143	10944	4256
144	10968	4160
145	10992	4065
146	11015	3971
147	11040	3878
148	11064	3787
149	11090	3696
150	11114	3606
151	11138	3517
152	11160	3428
153	11183	3340
154	11205	3253
155	11228	3167
156	11251	3081
157	11276	2997
158	11300	2913
159	11323	2830
160	11346	2748
161	11371	2667
162	11395	2586
163	11419	2506
164	11443	2427
165	11468	2348
166	11491	2270
167	11513	2193
168	11539	2116
169	11559	2039
170	11582	1964
171	11607	1889
172	11629	1815
173	11653	1741
174	11677	1668
175	11698	1595
176	11720	1523
177	11745	1451
178	11767	1380
179	11790	1310
180	11813	1240
181	11844	1171
182	11872	1102
183	11894	1034
184	11916	966
185	11939	898
186	11962	831
187	11984	764
188	12006	698
189	12027	633
190	12047	567
191	12068	502
192	12087	438
193	12108	374
194	12128	310
195	12141	247
196	12157	185
197	12170	122
198	12183	61
199	12195	0
